original index,img_link,img_dir,img_name,year
87,https://upload.wikimedia.org/wikipedia/commons/a/af/Van_Gogh_-_Stillleben_mit_Steingut_und_Holzschuhen.jpeg,./all_paintings/87_Van_Gogh_-_Stillleben_mit_Steingut_und_Holzschuhen.jpeg,Still Life with Clogs and Pots,1884
88,https://upload.wikimedia.org/wikipedia/commons/7/76/Van_Gogh_-_Stillleben_mit_zwei_T%C3%BCten_und_Flasche.jpeg,./all_paintings/88_Van_Gogh_-_Stillleben_mit_zwei_T%C3%BCten_und_Flasche.jpeg,Still Life with Two Sacks and a Bottle,1884
89,https://upload.wikimedia.org/wikipedia/commons/9/99/Van_Gogh_-_Stillleben_mit_Flaschen.jpeg,./all_paintings/89_Van_Gogh_-_Stillleben_mit_Flaschen.jpeg,Still Life with Five Bottles,1884
90,https://upload.wikimedia.org/wikipedia/commons/b/bc/Van_Gogh_-_Stillleben_mit_Steingut_und_Flaschen.jpeg,./all_paintings/90_Van_Gogh_-_Stillleben_mit_Steingut_und_Flaschen.jpeg,Still Life with Pottery and Two Bottles,1884
91,https://upload.wikimedia.org/wikipedia/commons/c/c3/Van_Gogh_-_Stillleben_mit_Steingut%2C_Bierglas_und_Flasche.jpeg,./all_paintings/91_Van_Gogh_-_Stillleben_mit_Steingut%2C_Bierglas_und_Flasche.jpeg,"Still Life with Pottery, Beer Glass and a Bottle",1884
92,https://upload.wikimedia.org/wikipedia/commons/1/1d/Van_Gogh_-_Stillleben_mit_Pinseln_in_einem_Blumentopf.jpeg,./all_paintings/92_Van_Gogh_-_Stillleben_mit_Pinseln_in_einem_Blumentopf.jpeg,Still Life with Paintbrushes in a Pot,1884
93,https://upload.wikimedia.org/wikipedia/commons/0/06/Stilleven_met_flessen_en_aardewerk_-_s0060V1962r_-_Van_Gogh_Museum.jpg,./all_paintings/93_Stilleven_met_flessen_en_aardewerk_-_s0060V1962r_-_Van_Gogh_Museum.jpg,Still Life with Bottles and Earthenware,1884
94,https://upload.wikimedia.org/wikipedia/commons/3/3d/Van_Gogh_-_Stillleben_mit_Flaschen%2C_Vase_und_Muschel.jpeg,./all_paintings/94_Van_Gogh_-_Stillleben_mit_Flaschen%2C_Vase_und_Muschel.jpeg,Still Life with Bottles and a Cowrie Shell,1884
95,https://upload.wikimedia.org/wikipedia/commons/4/4b/Van_Gogh_-_Kopf_einer_alten_B%C3%A4uerin_mit_wei%C3%9Fer_Haube.jpeg,./all_paintings/95_Van_Gogh_-_Kopf_einer_alten_B%C3%A4uerin_mit_wei%C3%9Fer_Haube.jpeg,Head of an Old Peasant Woman with White Cap,1884
96,https://upload.wikimedia.org/wikipedia/commons/0/09/Van_Gogh_-_Vase_mit_Mondviolen.jpeg,./all_paintings/96_Van_Gogh_-_Vase_mit_Mondviolen.jpeg,Vase with Honesty,1884
